Date,Open,High,Low,Close,Adj Close,Volume
03/02/2016,95,96.839996,94.080002,96.349998,92.384598,45964300
04/02/2016,95.860001,97.330002,95.190002,96.599998,93.1269,46471700
05/02/2016,96.519997,96.919998,93.690002,94.019997,90.639664,46418100
08/02/2016,93.129997,95.699997,93.040001,95.010002,91.594078,54021400
09/02/2016,94.290001,95.940002,93.93,94.989998,91.574799,44331200
10/02/2016,95.919998,96.349998,94.099998,94.269997,90.880684,42343600
11/02/2016,93.790001,94.720001,92.589996,93.699997,90.331177,50074700
12/02/2016,94.190002,94.5,93.010002,93.989998,90.610756,40351400
16/02/2016,95.019997,96.849998,94.610001,96.639999,93.165482,49057900
17/02/2016,96.669998,98.209999,96.150002,98.120003,94.592262,44863200
18/02/2016,98.839996,98.889999,96.089996,96.260002,92.799126,39021000
19/02/2016,96,96.760002,95.800003,96.040001,92.587059,35374200
22/02/2016,96.309998,96.900002,95.919998,96.879997,93.396843,34280800
23/02/2016,96.400002,96.5,94.550003,94.690002,91.285568,31942600
24/02/2016,93.980003,96.379997,93.32,96.099998,92.644897,36255700
25/02/2016,96.050003,96.760002,95.25,96.760002,93.281166,27582700
26/02/2016,97.199997,98.019997,96.580002,96.910004,93.425774,28991100
29/02/2016,96.860001,98.230003,96.650002,96.690002,93.213684,35216300
01/03/2016,97.650002,100.769997,97.419998,100.529999,96.915619,50407100
02/03/2016,100.510002,100.889999,99.639999,100.75,97.127716,33169600
03/03/2016,100.580002,101.709999,100.449997,101.5,97.850739,36955700
04/03/2016,102.370003,103.75,101.370003,103.010002,99.306458,46055100
07/03/2016,102.389999,102.830002,100.959999,101.870003,98.207436,35828900
08/03/2016,100.779999,101.760002,100.400002,101.029999,97.397629,31561900
09/03/2016,101.309998,101.580002,100.269997,101.120003,97.484413,27201700
10/03/2016,101.410004,102.239998,100.150002,101.169998,97.5326,33513600
11/03/2016,102.239998,102.279999,101.5,102.260002,98.58342,27408200
14/03/2016,101.910004,102.910004,101.779999,102.519997,98.834068,25076100
15/03/2016,103.959999,105.18,103.849998,104.580002,100.820015,40067700
16/03/2016,104.610001,106.309998,104.589996,105.970001,102.160034,38303500
17/03/2016,105.519997,106.470001,104.959999,105.800003,101.996147,34420700
18/03/2016,106.339996,106.5,105.190002,105.919998,102.111832,44205200
21/03/2016,105.93,107.650002,105.139999,105.910004,102.102196,35502700
22/03/2016,105.25,107.290001,105.209999,106.720001,102.883064,32444400
23/03/2016,106.480003,107.07,105.900002,106.129997,102.31427,25703500
24/03/2016,105.470001,106.25,104.889999,105.669998,101.870819,26133000
28/03/2016,106,106.190002,105.059998,105.190002,101.408089,19411400
29/03/2016,104.889999,107.790001,104.879997,107.68,103.808548,31190100
30/03/2016,108.650002,110.419998,108.599998,109.559998,105.620964,45601100
31/03/2016,109.720001,109.900002,108.879997,108.989998,105.071449,25888400
01/04/2016,108.779999,110,108.199997,109.989998,106.035492,25874000
04/04/2016,110.419998,112.190002,110.269997,111.120003,107.12487,37356200
05/04/2016,109.510002,110.730003,109.419998,109.809998,105.861961,26578700
06/04/2016,110.230003,110.980003,109.199997,110.959999,106.970627,26404100
07/04/2016,109.949997,110.419998,108.120003,108.540001,104.63765,31801900
08/04/2016,108.910004,109.769997,108.169998,108.660004,104.753319,23581700
11/04/2016,108.970001,110.610001,108.830002,109.019997,105.100372,29407500
12/04/2016,109.339996,110.5,108.660004,110.440002,106.469322,27232300
13/04/2016,110.800003,112.339996,110.800003,112.040001,108.011795,33257300
14/04/2016,111.620003,112.389999,111.330002,112.099998,108.069633,25473900
15/04/2016,112.110001,112.300003,109.730003,109.849998,105.900528,46939000
18/04/2016,108.889999,108.949997,106.940002,107.480003,103.615738,60834000
19/04/2016,107.879997,108,106.230003,106.910004,103.066238,32384900
20/04/2016,106.639999,108.089996,106.059998,107.129997,103.278313,30611000
21/04/2016,106.93,106.93,105.519997,105.970001,102.160034,31552500
22/04/2016,105.010002,106.480003,104.620003,105.68,101.880455,33683100
25/04/2016,105,105.650002,104.510002,105.080002,101.302032,28031600
26/04/2016,103.910004,105.300003,103.910004,104.349998,100.598267,56016200
27/04/2016,96,98.709999,95.68,97.82,94.303047,114602100
28/04/2016,97.610001,97.879997,94.25,94.830002,91.42054,82242700
29/04/2016,93.989998,94.720001,92.510002,93.739998,90.369743,68531500
02/05/2016,93.970001,94.080002,92.400002,93.639999,90.273331,48160100
03/05/2016,94.199997,95.739998,93.68,95.18,91.757965,56831300
04/05/2016,95.199997,95.900002,93.82,94.190002,90.803558,41025500
05/05/2016,94,94.07,92.68,93.239998,90.43499,35890500
06/05/2016,93.370003,93.449997,91.849998,92.720001,89.930634,43458200
09/05/2016,93,93.769997,92.589996,92.790001,89.998535,32936400
10/05/2016,93.330002,93.57,92.110001,93.419998,90.609573,33686800
11/05/2016,93.480003,93.57,92.459999,92.510002,89.726952,28719100
12/05/2016,92.720001,92.779999,89.470001,90.339996,87.622231,76314700
13/05/2016,90,91.669998,90,90.519997,87.796814,44392800
16/05/2016,92.389999,94.389999,91.650002,93.879997,91.05574,61259800
17/05/2016,94.550003,94.699997,93.010002,93.489998,90.677467,46916900
18/05/2016,94.160004,95.209999,93.889999,94.559998,91.715279,42062400
19/05/2016,94.639999,94.639999,93.57,94.199997,91.366112,30442100
20/05/2016,94.639999,95.43,94.519997,95.220001,92.355431,32026000
23/05/2016,95.870003,97.190002,95.669998,96.43,93.529022,38018600
24/05/2016,97.220001,98.089996,96.839996,97.900002,94.954796,35140200
25/05/2016,98.669998,99.739998,98.110001,99.620003,96.623062,38168800
26/05/2016,99.68,100.730003,98.639999,100.410004,97.389297,56331200
27/05/2016,99.440002,100.470001,99.25,100.349998,97.331093,36229500
31/05/2016,99.599998,100.400002,98.82,99.860001,96.855843,42307200
01/06/2016,99.019997,99.540001,98.330002,98.459999,95.497955,29173300
02/06/2016,97.599998,97.839996,96.629997,97.720001,94.780228,40191600
03/06/2016,97.790001,98.269997,97.449997,97.919998,94.97419,28062900
06/06/2016,97.989998,101.889999,97.550003,98.629997,95.662834,23292500
07/06/2016,99.25,99.870003,98.959999,99.029999,96.050804,22409500
08/06/2016,99.019997,99.559998,98.68,98.940002,95.963524,20848100
09/06/2016,98.5,99.989998,98.459999,99.650002,96.652153,26601400
